,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
50,Saskylakh,71.92,114.08,-5.77,97,97,1.8,RU,1603136890
51,Longyearbyen,78.22,15.64,-4.0,92,75,5.1,SJ,1603136892
52,Avarua,-21.21,-159.78,26.0,78,0,3.1,CK,1603136759
53,Lavrentiya,65.58,-171.0,0.49,82,6,1.54,RU,1603136894
54,Portland,45.52,-122.68,17.78,72,75,2.1,US,1603136895
55,Makakilo City,21.35,-158.09,28.0,69,90,4.6,US,1603136725
56,Castro,-24.79,-50.01,23.87,58,12,0.72,BR,1603136795
57,Corat,40.57,49.71,15.0,87,40,1.0,AZ,1603136899
58,Faanui,-16.48,-151.75,26.58,79,0,7.73,PF,1603136900
59,Saint Paul Harbor,57.79,-152.41,3.0,86,40,2.1,US,1603136901
60,Mount Isa,-20.73,139.5,24.0,19,24,2.1,AU,1603136902
61,Båtsfjord,70.63,29.72,1.0,86,75,5.1,NO,1603136903
62,Port Elizabeth,-33.92,25.57,16.0,87,98,6.7,ZA,1603136681
63,Mizhou,35.99,119.4,11.65,68,0,1.98,CN,1603136906
64,Hobart,-42.88,147.33,7.22,87,40,3.1,AU,1603136688
65,Puerto Ayora,-0.74,-90.35,26.0,65,75,9.3,EC,1603136908
66,Guerrero Negro,27.98,-114.06,30.39,39,0,4.44,MX,1603136748
67,Kiunga,-6.12,141.29,22.82,98,100,0.19,PG,1603136910
68,Baruun-Urt,46.68,113.28,7.1,48,100,7.5,MN,1603136912
69,Tomatlán,19.93,-105.25,32.52,62,9,3.6,MX,1603136913
70,New Norfolk,-42.78,147.06,6.11,84,68,1.13,AU,1603136914
71,Heishan,41.69,122.11,10.4,67,0,3.69,CN,1603136915
72,Mēga,4.05,38.3,17.41,80,11,2.48,ET,1603136916
73,São João da Barra,-21.64,-41.05,24.0,73,40,9.3,BR,1603136918
74,Borovsk,55.21,36.49,1.67,81,1,3.58,RU,1603136919
75,Schleswig,54.52,9.55,8.33,93,100,2.1,DE,1603136689
76,Melioratorov,57.21,65.61,6.0,75,75,4.0,RU,1603136921
77,Upernavik,72.79,-56.15,2.11,81,7,7.72,GL,1603136922
78,Iqaluit,63.75,-68.51,0.56,74,69,1.79,CA,1603136923
79,Ahipara,-35.17,173.17,16.27,78,100,4.55,NZ,1603136925
80,Constitución,-35.33,-72.42,15.88,54,0,8.35,CL,1603136926
81,Weinan,34.5,109.51,14.44,87,100,1.0,CN,1603136927
82,George Town,5.41,100.34,27.78,88,20,0.5,MY,1603136928
83,Bima,-8.47,118.72,25.29,79,36,1.06,ID,1603136929
84,Matagami,49.75,-77.63,4.24,70,95,3.48,CA,1603136930
85,Saint-François,46.42,3.91,11.0,81,92,3.6,FR,1603136932
86,Oussouye,12.48,-16.55,31.0,84,20,2.1,SN,1603136933
87,Chara,56.91,118.26,-0.36,96,100,1.3,RU,1603136934
88,Nelson Bay,-32.72,152.15,16.11,93,90,0.5,AU,1603136935
89,Kuah,6.33,99.84,27.0,94,20,2.18,MY,1603136936
90,Varhaug,58.61,5.65,6.67,99,100,0.45,NO,1603136938
91,Kruisfontein,-34.0,24.73,15.0,84,100,0.45,ZA,1603136939
92,Pereyaslovskaya,45.84,39.02,11.96,87,17,2.04,RU,1603136940
93,Atikokan,48.76,-91.62,1.23,73,100,3.26,CA,1603136941
94,Turgutlu,38.5,27.7,17.0,67,88,4.1,TR,1603136942
95,Manado,1.49,124.85,23.0,100,40,1.0,ID,1603136944
96,Mosquera,4.71,-74.23,19.0,59,75,5.1,CO,1603136945
97,Trelew,-43.25,-65.31,17.69,25,0,12.0,AR,1603136946
98,Risaralda,5.17,-75.77,23.0,69,75,1.0,CO,1603136947
99,Lucapa,-8.42,20.74,20.75,84,4,1.19,AO,1603136948
100,Mt. Pleasant,32.79,-79.86,26.67,65,1,1.5,US,1603136950
101,Butaritari,3.07,172.79,27.77,76,85,5.36,KI,1603136951
102,Cape Town,-33.93,18.42,15.56,67,40,3.1,ZA,1603136782
103,Bathsheba,13.22,-59.52,31.0,66,20,3.6,BB,1603136953
104,Marzuq,14.4,46.47,20.32,24,0,3.0,YE,1603136955
105,Yen Bai,21.7,104.87,19.13,91,100,1.28,VN,1603136956
106,Pochutla,15.74,-96.47,32.0,55,20,4.6,MX,1603136957
107,Erdenet,49.03,104.08,-6.01,94,100,9.33,MN,1603136958
108,Jutaí,-5.18,-68.9,27.78,63,100,1.62,BR,1603136959
109,Bethel,41.37,-73.41,17.0,63,90,2.1,US,1603136961
110,Independence,39.09,-94.42,8.0,56,90,5.7,US,1603136949
111,Hamilton,39.18,-84.53,15.0,93,90,0.17,US,1603136702
112,Jamestown,42.1,-79.24,10.56,93,90,2.1,US,1603136782
113,Paamiut,61.99,-49.67,4.64,81,100,7.36,GL,1603136965
114,Barcelos,41.54,-8.62,16.11,100,75,4.1,PT,1603136967
115,Ferkessédougou,9.6,-5.2,25.48,78,9,2.03,CI,1603136968
116,Walvis Bay,-22.96,14.51,15.56,77,0,1.5,NA,1603136969
117,Am Timan,11.03,20.28,25.93,39,27,1.43,TD,1603136971
118,Mastic Beach,40.77,-72.85,18.33,63,1,4.1,US,1603136853
119,Maniitsoq,65.42,-52.9,2.94,96,100,15.43,GL,1603136973
120,Beringovskiy,63.05,179.32,2.95,81,86,5.1,RU,1603136796
121,Beisfjord,68.38,17.6,-2.0,86,4,5.1,NO,1603136975
122,Clemencia,10.57,-75.33,30.0,74,75,5.1,CO,1603136976
123,San Quintín,30.48,-115.95,25.72,53,0,9.21,MX,1603136978
124,Pevek,69.7,170.31,-4.13,94,0,6.33,RU,1603136979
125,Lorengau,-2.02,147.27,26.74,74,74,0.76,PG,1603136980
126,Tiksi,71.69,128.87,-9.46,93,100,10.1,RU,1603136787
127,Hithadhoo,-0.6,73.08,28.11,77,100,4.97,MV,1603136792
128,Hambantota,6.12,81.12,26.0,94,40,3.1,LK,1603136983
129,Berlevåg,70.86,29.09,3.0,86,75,5.1,NO,1603136985
130,Kasama,-10.21,31.18,22.1,42,9,2.09,ZM,1603136986
131,Dhaka,23.71,90.41,29.0,74,20,1.83,BD,1603136813
132,Lagoa,39.05,-27.98,17.63,74,75,16.51,PT,1603136988
133,Ketchikan,55.34,-131.65,7.0,93,90,4.1,US,1603136989
134,Alofi,-19.06,-169.92,24.0,78,75,4.6,NU,1603136991
135,Sarai,53.75,41.02,4.42,74,0,4.88,RU,1603136992
136,Faya,18.39,42.45,18.0,17,0,3.1,SA,1603136993
137,Linxia Chengguanzhen,35.6,103.21,4.93,60,100,1.03,CN,1603136994
138,Qaanaaq,77.48,-69.36,-2.15,81,29,4.37,GL,1603136996
139,Yuancheng,36.65,107.79,8.73,53,100,2.33,CN,1603136997
140,Grand-Lahou,5.14,-5.02,25.11,86,25,4.08,CI,1603136998
141,Keokuk,40.4,-91.38,4.0,84,90,3.1,US,1603136999
142,Safi,32.3,-9.24,19.23,76,61,4.12,MA,1603137000
143,Lebu,-37.62,-73.65,12.99,58,0,5.3,CL,1603136778
144,Kuala Terengganu,5.33,103.14,27.0,88,20,2.1,MY,1603137003
145,Haapiti,-17.57,-149.87,29.0,62,75,8.2,PF,1603137004
146,Sharkan,57.3,53.87,3.89,82,99,2.22,RU,1603137005
147,Belyy Yar,53.6,91.39,-2.0,79,99,1.0,RU,1603137006
148,Punta Arenas,-53.15,-70.92,8.0,62,40,15.4,CL,1603137008
149,Avera,33.19,-82.53,26.0,47,1,2.6,US,1603137009
150,Vostok,46.49,135.88,-2.86,98,0,1.07,RU,1603137010
151,Grindavik,63.84,-22.43,2.0,80,97,2.6,IS,1603137011
152,Salaberry-de-Valleyfield,45.25,-74.13,9.44,87,100,1.51,CA,1603137012
153,Hailar,49.2,119.7,4.44,66,100,5.92,CN,1603137014
154,Oriximiná,-1.77,-55.87,35.68,33,90,1.91,BR,1603137015
155,Hilo,19.73,-155.09,28.0,65,20,3.1,US,1603136917
156,Thompson,55.74,-97.86,-0.81,90,99,3.78,CA,1603137017
157,Codajás,-3.84,-62.06,32.87,52,97,0.46,BR,1603136844
158,Senador José Porfírio,-2.59,-51.95,33.2,48,97,1.67,BR,1603137020
159,Chekhov,55.14,37.47,1.67,9,0,4.71,RU,1603137021
160,Severo-Kuril'sk,50.68,156.12,4.35,73,79,3.66,RU,1603137022
161,Katobu,-4.94,122.53,23.01,86,44,1.68,ID,1603137023
162,Gilgit,35.92,74.31,15.18,30,0,2.6,PK,1603137024
163,Kavieng,-2.57,150.8,27.72,71,66,0.85,PG,1603137026
164,Coquimbo,-29.95,-71.34,16.0,67,20,7.7,CL,1603136873
165,Gorin,51.2,136.67,-3.88,83,0,1.72,RU,1603137028
166,Chokurdakh,70.63,147.92,-8.96,98,92,2.91,RU,1603137029
167,San Rafael del Sur,11.85,-86.44,32.0,59,40,4.1,NI,1603137030
168,Djibouti,11.5,42.5,31.0,48,1,3.82,DJ,1603137031
169,Bambous Virieux,-20.34,57.76,24.0,69,20,5.1,MU,1603137033
170,Los Llanos de Aridane,28.66,-17.92,27.0,65,20,4.35,ES,1603137034
171,Dubki,43.02,46.84,11.0,93,0,2.0,RU,1603137035
172,Sitka,57.05,-135.33,6.0,70,75,1.04,US,1603136771
173,Egvekinot,66.32,-179.17,-3.96,95,49,2.5,RU,1603137038
174,Mindelo,16.89,-24.98,30.0,55,20,4.6,CV,1603137039
175,Saint George,37.1,-113.58,27.22,16,1,2.55,US,1603136876
176,Garoowe,8.41,48.48,27.25,57,0,3.43,SO,1603137041
177,Buñol,39.42,-0.78,20.0,72,75,2.6,ES,1603137043
178,Palmer,42.16,-72.33,16.67,69,89,1.73,US,1603136931
179,Mount Gambier,-37.83,140.77,2.0,100,90,1.22,AU,1603136835
180,Kazachinskoye,57.7,93.28,-1.18,92,100,3.21,RU,1603137046
181,Bengkulu,-3.8,102.27,24.56,86,100,1.66,ID,1603137047
182,Cruz do Espírito Santo,-7.14,-35.09,28.0,61,40,5.7,BR,1603137048
183,Nichelino,44.99,7.64,13.89,93,75,1.33,IT,1603137050
184,Nikolskoye,59.7,30.79,2.22,94,90,3.0,RU,1603137051
185,Suda,59.15,37.56,1.0,95,75,1.0,RU,1603137052
186,Seymchan,62.88,152.43,-6.62,96,100,5.38,RU,1603137053
187,Kloulklubed,7.04,134.26,25.0,94,75,1.5,PW,1603137055
188,Homer,59.64,-151.55,3.89,74,40,1.5,US,1603136881
189,Kaitangata,-46.28,169.85,9.44,75,83,0.89,NZ,1603137057
190,Ouadda,8.08,22.4,22.83,71,75,1.41,CF,1603137058
191,Te Anau,-45.42,167.72,8.25,77,35,1.79,NZ,1603137059
192,Hong Kong,22.29,114.16,23.33,74,29,0.89,HK,1603136980
193,Talnakh,69.49,88.4,-10.0,92,90,3.0,RU,1603137062
194,College,64.86,-147.8,-8.0,85,90,2.1,US,1603137063
195,Turbat,26.0,63.04,21.94,18,0,4.1,PK,1603137064
196,Juneau,58.3,-134.42,3.33,93,90,1.09,US,1603137065
197,Hasaki,35.73,140.83,11.0,100,75,2.1,JP,1603137067
198,Esperance,-33.87,121.9,14.0,100,90,5.1,AU,1603137068
199,Beloha,-25.17,45.05,19.44,86,0,3.76,MG,1603137069
200,Prince George,53.92,-122.75,1.67,86,100,0.99,CA,1603136896
201,Verishen,39.54,46.31,11.13,40,0,3.9,AM,1603137071
202,Lakota,5.85,-5.69,22.51,98,99,1.85,CI,1603137072
203,Fortuna,40.6,-124.16,13.89,100,75,1.5,US,1603137074
204,Husavik,66.04,-17.34,2.0,85,75,1.32,IS,1603137075
205,Ngaoundéré,7.32,13.58,19.26,71,97,1.2,CM,1603137076
206,Aitape,-3.14,142.35,25.18,84,52,1.9,PG,1603137077
207,Zhigansk,66.77,123.37,-9.76,95,100,3.66,RU,1603136825
208,Bangkalan,-7.05,112.74,26.2,75,98,2.65,ID,1603137080
209,Itarema,-2.92,-39.92,27.2,71,12,8.73,BR,1603137081
210,Morondava,-20.28,44.28,24.76,81,0,4.9,MG,1603137082
211,Mar del Plata,-38.0,-57.56,17.0,39,98,6.7,AR,1603137083
212,Souillac,-20.52,57.52,24.0,69,20,5.1,MU,1603137084
213,Bosaso,11.28,49.18,27.78,41,0,4.0,SO,1603137086
214,Carnarvon,-24.87,113.63,20.0,77,90,6.7,AU,1603137087
215,Arraial do Cabo,-22.97,-42.03,25.0,69,20,8.2,BR,1603136899
216,Raudeberg,61.99,5.14,4.0,66,95,4.1,NO,1603137089
217,Ostrovnoy,68.05,39.51,1.9,83,94,6.49,RU,1603137090
218,Hay River,60.82,-115.8,-2.35,86,0,2.12,CA,1603137092
219,Guadalupe Victoria,32.29,-115.11,36.11,17,5,1.63,MX,1603137093
220,Chicama,-7.84,-79.15,19.0,77,20,5.1,PE,1603137094
221,Port Hedland,-20.32,118.57,22.0,88,0,4.6,AU,1603137095
222,Poshekhon'ye,58.5,39.14,2.88,84,97,4.75,RU,1603137096
223,Ixtapa,20.7,-105.2,31.67,70,20,5.7,MX,1603137098
224,Nur,52.67,22.32,4.42,86,0,3.83,PL,1603137099
225,Cherskiy,68.75,161.3,-8.01,94,11,1.76,RU,1603137100
226,San Rafael,-34.62,-68.33,23.91,19,0,4.56,AR,1603137034
227,Shubarshi,48.59,57.19,11.49,41,0,4.72,KZ,1603137102
228,Chapleau,47.84,-83.4,1.9,86,100,3.01,CA,1603137104
229,Kupang,-10.17,123.58,25.24,78,16,2.25,ID,1603136811
230,Camacha,33.08,-16.33,21.0,73,20,1.5,PT,1603137106
231,Riyadh,24.69,46.72,23.0,22,0,2.1,SA,1603137101
232,Saldanha,-33.01,17.94,15.0,67,100,1.0,ZA,1603137108
233,Saint-Augustin,51.23,-58.65,9.95,75,0,5.35,CA,1603137109
234,Maragogi,-9.01,-35.22,24.9,75,96,4.77,BR,1603137111
235,El Alto,-4.27,-81.21,24.0,69,97,7.7,PE,1603137112
236,Sioux Lookout,50.1,-91.92,1.52,73,100,3.56,CA,1603136921
237,Takoradze,4.88,-1.76,25.16,88,1,3.86,GH,1603137114
238,Ancud,-41.87,-73.82,10.0,57,40,2.6,CL,1603137116
239,Provideniya,64.38,-173.3,-2.0,79,35,1.0,RU,1603137117
240,Biloela,-24.42,150.5,17.29,72,2,2.94,AU,1603137118
241,Shimoda,34.67,138.95,15.76,73,100,5.14,JP,1603137119
242,La Rioja,42.25,-2.5,19.0,55,100,7.7,ES,1603137120
243,Palotina,-24.28,-53.84,32.77,34,1,0.48,BR,1603137122
244,Darnah,32.77,22.64,21.35,76,42,1.95,LY,1603137123
245,Kubuta,-26.88,31.48,23.03,66,22,1.61,SZ,1603137124
246,Kurovskoye,55.58,38.91,3.0,80,40,4.0,RU,1603136851
247,Deputatsky,69.3,139.9,-12.31,95,99,2.04,RU,1603137126
248,Coyhaique,-45.58,-72.07,8.0,65,75,3.6,CL,1603137128
249,Evensk,61.95,159.23,2.51,84,90,7.14,RU,1603137129
250,Steinbach am Taunus,50.17,8.57,10.0,87,96,3.1,DE,1603137130
251,San Andrés,12.58,-81.7,31.0,74,75,2.6,CO,1603137131
252,Sarangani,5.4,125.46,27.56,80,100,5.78,PH,1603137132
253,Christiansburg,37.13,-80.41,22.78,46,75,2.1,US,1603137134
254,Nur-Sultan,51.18,71.45,0.0,61,0,4.0,KZ,1603137135
255,Kabanjahe,3.1,98.49,24.0,100,75,1.0,ID,1603137136
256,Verkhneyarkeyevo,55.45,54.31,5.54,84,32,2.56,RU,1603137137
257,LaBelle,26.76,-81.44,25.0,83,100,5.1,US,1603137114
258,Airai,-8.93,125.41,15.69,61,3,0.97,TL,1603137140
259,Dunedin,-45.87,170.5,9.44,75,26,1.79,NZ,1603137141
260,Kristinestad,62.27,21.38,1.75,86,86,5.08,FI,1603137142
261,Santa Lucía,27.91,-15.54,25.0,78,10,2.6,ES,1603137143
262,Narsaq,60.92,-46.05,2.0,93,90,3.1,GL,1603137144
263,Vila Franca do Campo,37.72,-25.43,14.0,87,20,0.5,PT,1603137146
264,Saint-Pierre,-21.34,55.48,21.67,77,1,3.1,RE,1603137147
265,Port Hardy,50.7,-127.42,11.31,81,98,5.48,CA,1603137148
266,Watertown,42.37,-71.18,18.0,55,1,1.5,US,1603137149
267,Zaliznychne,45.75,28.61,9.84,54,0,0.67,UA,1603137150
268,Madimba,-10.4,40.33,24.0,83,20,2.5,TZ,1603137151
269,Takaka,-40.85,172.8,12.78,83,100,2.24,NZ,1603137153
270,Ola,59.58,151.28,-1.84,97,100,3.11,RU,1603137154
271,Kungurtug,50.6,97.52,-8.75,92,92,1.31,RU,1603137155
272,Yarmouth,41.71,-70.23,16.11,63,20,2.6,US,1603137082
273,Viedma,-40.81,-63.0,20.56,20,0,3.58,AR,1603137157
274,Yei,4.09,30.68,20.29,93,100,1.31,SS,1603137159
275,Sinnamary,5.38,-52.95,29.36,70,15,5.47,GF,1603137160
276,Kiryat Gat,31.61,34.76,26.11,83,40,2.78,IL,1603137001
277,Kajaani,64.23,27.73,0.0,93,75,5.1,FI,1603137162
278,Elko,41.0,-115.5,21.67,16,34,5.36,US,1603137163
279,Bilibino,68.05,166.44,-11.53,92,44,1.36,RU,1603137165
280,Umm Kaddadah,13.6,26.69,31.44,15,4,2.85,SD,1603137166
281,Rocha,-34.48,-54.33,27.27,70,41,0.66,UY,1603136966
282,Borovoy,55.43,86.08,-1.0,92,90,4.0,RU,1603137168
283,Miguel Auza,24.29,-103.45,25.24,20,0,3.81,MX,1603137169
284,Csákvár,47.39,18.46,9.44,87,98,3.1,HU,1603137171
285,Appleton,44.26,-88.42,2.78,31,75,3.1,US,1603136919
286,Leh,34.17,77.58,2.53,50,0,3.75,IN,1603137173
287,Muriti,-1.98,32.92,23.0,78,40,2.6,TZ,1603137174
288,Christchurch,-43.53,172.63,13.33,81,25,4.6,NZ,1603137175
289,Richards Bay,-28.78,32.04,21.94,87,63,1.38,ZA,1603137177
290,Mahébourg,-20.41,57.7,24.0,69,20,5.1,MU,1603137178
291,Antofagasta,-23.65,-70.4,17.0,72,90,6.2,CL,1603137179
292,Nouadhibou,20.93,-17.03,30.0,35,0,6.2,MR,1603137180
293,Luwuk,-0.95,122.79,24.74,63,58,2.89,ID,1603137181
294,Zyryanka,65.75,150.85,-9.8,96,80,2.38,RU,1603137183
295,Nyurba,63.28,118.33,-6.33,97,23,3.61,RU,1603137184
296,Umluj,25.02,37.27,28.32,42,0,2.26,SA,1603137185
297,Havøysund,71.0,24.66,3.0,86,75,2.1,NO,1603137186
298,Inawashiro,37.57,140.12,8.89,66,51,1.14,JP,1603137187
299,Philadelphia,39.95,-75.16,22.0,53,75,3.26,US,1603136939
300,Bad Salzungen,50.82,10.23,7.22,87,34,0.45,DE,1603137190
301,Gravdal,68.12,13.5,-2.0,74,51,3.1,NO,1603137191
302,Khuzdar,27.74,66.64,15.13,24,0,2.94,PK,1603137192
303,Luleå,65.58,22.15,-2.0,86,100,4.6,SE,1603137193
304,Litovko,49.24,135.17,-2.13,87,0,1.45,RU,1603137195
305,Molteno,-31.4,26.36,15.96,34,9,0.88,ZA,1603137196
306,Dingle,11.0,122.67,24.85,89,100,0.8,PH,1603137197
307,Naze,28.37,129.48,24.0,83,75,7.7,JP,1603137198
308,Caibarién,22.52,-79.47,27.0,88,75,3.6,CU,1603137047
309,Poum,-20.23,164.02,23.1,70,0,3.82,NC,1603137201
310,Acaraú,-2.89,-40.12,27.5,69,18,9.33,BR,1603137202
311,Arkhangel’skoye,55.85,35.33,2.43,83,46,6.45,RU,1603137203
312,Ayan,56.45,138.17,-2.4,81,98,5.69,RU,1603137205
313,Touros,-5.2,-35.46,28.0,65,40,7.7,BR,1603137206
314,Barinas,8.62,-70.21,30.63,58,100,1.14,VE,1603137207
315,Zhangye,38.93,100.45,5.84,54,50,0.31,CN,1603137208
316,Bemidji,47.47,-94.88,0.56,58,90,3.1,US,1603137007
317,Turinsk,58.05,63.7,3.76,87,26,3.51,RU,1603137210
318,Batemans Bay,-35.72,150.18,12.78,93,99,0.79,AU,1603137212
319,Batticaloa,7.71,81.69,26.29,78,21,2.11,LK,1603137213
320,Zaraza,9.35,-65.32,30.62,71,23,0.72,VE,1603137214
321,Makassar,-5.14,119.42,23.0,100,20,1.0,ID,1603137057
322,Nipawin,53.37,-104.0,-1.7,84,0,2.7,CA,1603137216
323,Talcahuano,-36.72,-73.12,17.0,51,0,9.8,CL,1603137218
324,Mayo,38.89,-76.51,21.11,64,75,4.6,US,1603137219
325,Sofiyivka,48.05,33.87,6.0,81,0,3.0,UA,1603137220
326,Hobyo,5.35,48.53,27.07,76,8,7.84,SO,1603137221
327,Hofn,64.25,-15.21,2.0,74,20,3.6,IS,1603137222
328,Grand Gaube,-20.01,57.66,23.33,70,32,1.34,MU,1603137224
329,Tótkomlós,46.42,20.73,6.11,93,34,1.0,HU,1603137225
330,Strezhevoy,60.73,77.59,0.0,99,90,2.0,RU,1603137226
331,Nyzy,50.78,34.78,4.63,71,2,3.34,UA,1603137227
332,Edgewater,28.99,-80.9,25.0,100,75,6.39,US,1603137228
333,Klaksvík,62.23,-6.59,5.0,86,13,2.6,FO,1603137230
334,Geraldton,-28.77,114.6,19.0,72,90,4.1,AU,1603137231
335,Farafangana,-22.82,47.83,22.67,82,100,4.16,MG,1603137232
336,Chui,-33.7,-53.46,26.0,60,0,2.36,UY,1603137233
337,Jiangyou,31.77,104.72,14.97,80,100,0.26,CN,1603137234
338,Port Blair,11.67,92.75,27.06,85,6,6.25,IN,1603137236
339,Anito,12.45,125.29,25.03,92,100,4.15,PH,1603137237
340,Clyde River,70.47,-68.59,0.11,97,100,3.17,CA,1603137238
341,Tūkrah,32.53,20.58,21.43,77,39,2.32,LY,1603137239
342,Huron,41.15,-82.55,11.11,94,100,2.75,US,1603137241
343,Leningradskiy,69.38,178.42,-3.22,91,96,3.06,RU,1603137242
344,Dunkirk,51.05,2.37,11.67,84,98,1.34,FR,1603137243
345,Somerset East,-32.72,25.59,15.06,83,97,4.94,ZA,1603137244
346,Pacific Grove,36.62,-121.92,23.0,72,40,3.6,US,1603137010
347,Haines Junction,60.75,-137.51,-1.97,75,100,0.35,CA,1603137247
348,Tacuarembó,-31.73,-55.98,30.68,60,0,2.31,UY,1603137248
349,Couëron,47.22,-1.72,15.0,62,100,6.2,FR,1603137249
350,Paka,4.64,103.44,24.0,100,50,0.48,MY,1603137250
351,Mehamn,71.04,27.85,3.0,80,40,2.6,NO,1603137252
352,Puerto Ayacucho,5.66,-67.62,31.82,64,56,1.16,VE,1603137253
353,Sikonge,-5.63,32.77,25.0,53,20,1.34,TZ,1603137254
354,San Bonifacio,45.4,11.28,12.78,72,11,1.4,IT,1603137255
355,Champerico,14.3,-91.92,32.0,59,40,3.1,GT,1603137256
356,Acarí,-15.43,-74.62,25.09,40,0,4.42,PE,1603137258
357,Bekhtery,46.25,32.29,7.0,75,0,3.0,UA,1603137259
358,Kampot,10.62,104.18,25.0,94,40,1.5,KH,1603137260
359,Novosergiyevka,52.09,53.65,10.45,93,93,0.46,RU,1603137261
360,Anan,33.92,134.65,13.0,87,20,3.6,JP,1603137262
361,Stryn,61.9,6.72,2.0,80,100,4.1,NO,1603137264
362,Ürümqi,43.8,87.6,7.0,56,11,1.0,CN,1603137265
363,Liku,-0.73,119.89,23.88,83,100,0.83,ID,1603137266
364,Srednekolymsk,67.45,153.68,-9.33,96,46,0.87,RU,1603137267
365,Invermere,50.52,-116.04,7.11,64,99,0.66,CA,1603137269
366,Amga,60.9,131.96,-12.74,94,99,1.25,RU,1603137270
367,Fairbanks,64.84,-147.72,-8.0,85,90,1.0,US,1603137271
368,Iralaya,15.0,-83.23,28.5,80,100,4.54,HN,1603137272
369,Dillon,34.42,-79.37,26.11,50,1,1.5,US,1603137273
370,Ishigaki,24.34,124.16,26.36,82,89,11.44,JP,1603137274
371,Udachny,66.42,112.4,-10.0,100,90,2.0,RU,1603137276
372,Nha Trang,12.25,109.18,26.0,88,75,0.5,VN,1603137277
